Date	EUR/GBP (MACD)		
1	0.000100183800		
2	-0.000005027394		
3	-0.000119309357		
4	-0.000382985432		
5	-0.000784634944		
6	-0.001090375902		
7	-0.001492989177		
8	-0.001791412807		
9	-0.001797398126		
10	-0.001749695478		
11	-0.001867880633		
12	-0.002154574067		
13	-0.002219025344		
14	-0.002084689160		
15	-0.001955682872		
16	-0.001704687258		
17	-0.001329067477		
18	-0.001187153775		
19	-0.000950758096		
20	-0.000978074779		
21	-0.001387190987		
22	-0.001691915184		
23	-0.001895423712		
24	-0.002097085109		
25	-0.002478476972		
26	-0.002796906757		
27	-0.002607677593		
28	-0.002062752436		
29	-0.001604332413		
30	-0.001426318635		
31	-0.001557774295		
32	-0.001611105376		
33	-0.001658460435		
34	-0.001860137926		
35	-0.002100652907		
36	-0.002265151506		
37	-0.002065084579		
