Date	GA
1	-0.00010539266274284
2	-0.00021330762925024
3	-0.00032907159102479
4	-0.00059038680324986
5	-0.00097294088101687
6	-0.00125160200161708
7	-0.00160201416132412
8	-0.00184961151255600
9	-0.00185447176171891
10	-0.00181562043372803
11	-0.00191139296070253
12	-0.00213698545206014
13	-0.00218638804408640
14	-0.00208287341612752
15	-0.00198149538933861
16	-0.00177872155872916
17	-0.00146161519819668
18	-0.00133754875911550
19	-0.00112569554685275
20	-0.00115050748564690
21	-0.00151175465681754
22	-0.00176820788749902
23	-0.00193347997054247
24	-0.00209251295924899
25	-0.00238038633557715
26	-0.00260781117837719
27	-0.00247408036318597
28	-0.00206577093522264
29	-0.00169560202532289
30	-0.00154528689076458
