Date	EUR/USD
1	1.3665
2	1.3672
3	1.3628
4	1.3611
5	1.359
6	1.3541
7	1.3542
8	1.3546
9	1.3546
10	1.3556
11	1.3607
12	1.3687
13	1.3678
14	1.3678
15	1.3679
16	1.3665
17	1.3659
18	1.3611
19	1.3533
20	1.3486
21	1.3486
22	1.3499
23	1.3516
24	1.352
25	1.3548
26	1.3592
27	1.3636
28	1.3635
29	1.3632
30	1.3659
31	1.3615
32	1.3639
33	1.3689
34	1.3693
35	1.3692
36	1.3706
37	1.3726
38	1.3756
39	1.3724
40	1.3721
41	1.374
42	1.374
43	1.3738
44	1.3743
45	1.3723
46	1.3683
47	1.3752
48	1.3803
49	1.3803
50	1.3771
51	1.3744
52	1.3733
53	1.3769
54	1.387
55	1.3879
56	1.3879
57	1.388
58	1.3865
59	1.3874
60	1.3918
61	1.3883
62	1.3911
63	1.3911
64	1.391
65	1.392
66	1.3911
67	1.3804
68	1.3789
69	1.3792
70	1.3792
71	1.3796
72	1.3822
73	1.3805
74	1.3769
75	1.3744
76	1.3753
77	1.3753
78	1.3768
79	1.3787
80	1.3788
81	1.3748
82	1.3708
83	1.3705
84	1.3705
85	1.3719
86	1.3768
87	1.3804
88	1.3866
89	1.3889
90	1.3885
