Date	EUR/USD (SMA)
1	1.368733333
2	1.368496667
3	1.36806
4	1.367556667
5	1.366983333
6	1.36655
7	1.36618
8	1.365753333
9	1.365326667
10	1.36489
11	1.36464
12	1.364656667
13	1.364633333
14	1.364363333
15	1.36413
16	1.363846667
17	1.363486667
18	1.3629
19	1.36205
20	1.361283333
21	1.36077
22	1.36047
23	1.360226667
24	1.359943333
25	1.359683333
26	1.359643333
27	1.359803333
28	1.35984
29	1.359713333
30	1.359676667
31	1.35951
32	1.3594
33	1.359603333
34	1.359876667
35	1.360216667
36	1.360766667
37	1.36138
38	1.36208
39	1.362673333
40	1.363223333
41	1.363666667
42	1.363843333
43	1.364043333
44	1.36426
45	1.364406667
46	1.364466667
47	1.364776667
48	1.365416667
49	1.366316667
50	1.367266667
51	1.368126667
52	1.368906667
53	1.36975
54	1.370916667
55	1.37202
56	1.372976667
57	1.37379
58	1.374556667
59	1.375363333
60	1.376226667
61	1.37712
62	1.378026667
63	1.378766667
64	1.37949
65	1.38025
66	1.380933333
67	1.381193333
68	1.381303333
69	1.38153
70	1.381766667
71	1.381953333
72	1.382226667
73	1.38245
74	1.382536667
75	1.382606667
76	1.38284
77	1.382843333
78	1.382726667
79	1.382673333
80	1.38273
81	1.382743333
82	1.38266
83	1.382446667
84	1.381896667
85	1.381363333
86	1.380993333
87	1.38074
88	1.380743333
89	1.380793333
90	1.380683333
