Date	NN
1	1.369501411
2	1.369275255
3	1.368857967
4	1.368376947
5	1.367828999
6	1.36741483
7	1.367061179
8	1.366653348
9	1.3662455
10	1.365828074
11	1.365589082
12	1.365605015
13	1.365582709
14	1.36532459
15	1.365101519
16	1.364830641
17	1.364486454
18	1.363925532
19	1.363112777
20	1.362379647
21	1.361888739
22	1.361601834
23	1.361369117
24	1.361098138
25	1.360849469
26	1.360811212
27	1.36096424
28	1.360999309
29	1.360878162
30	1.360843093
31	1.360683687
32	1.360578477
33	1.360772954
34	1.361034377
35	1.361359553
36	1.361885551
37	1.362472088
38	1.363141463
39	1.363708804
40	1.364234681
41	1.364658549
42	1.364827454
43	1.365018663
44	1.365225802
45	1.365366017
46	1.365423377
47	1.365719732
48	1.366331532
49	1.367191808
50	1.368099791
51	1.368921676
52	1.369667042
53	1.370472858
54	1.3715875
55	1.372641498
56	1.37355528
57	1.374332074
58	1.375064229
59	1.375834511
60	1.376658821
