Date	XBT/USD (RSI)
1	61.49646582
2	51.75650798
3	51.46759241
4	54.98098113
5	52.01911317
6	53.33684941
7	54.78141973
8	54.96299937
9	50.9852959
10	52.07082943
11	52.36904927
12	51.60254692
13	50.9911843
14	58.46059142
15	58.87574867
16	61.01095548
17	65.62494346
18	68.78666494
19	62.94688938
20	63.95720224
21	62.31910411
22	63.69684742
23	62.75381036
24	67.81089211
25	68.4615786
26	70.17858725
27	68.70276437
28	61.90855729
29	59.97521051
30	61.71581635
31	63.84217504
32	59.67549907
33	44.44265574
34	46.632406
35	47.19071236
36	46.61048488
37	50.92882595
38	49.95025298
39	40.70359074
40	41.09686196
41	41.9970114
42	41.51922244
43	45.07072953
44	40.34340085
45	43.34436196
46	41.73723501
47	43.77446986
48	47.32123681
49	48.11119525
50	47.85892629
51	52.18019928
52	48.74637018
53	47.68183173
54	42.78887103
55	42.18548328
56	37.99872448
57	38.72389729
58	38.46555272
59	32.56973953
60	30.4746335
61	35.07830528
62	38.7959071
63	35.94924247
64	36.46712038
65	35.88206372
66	38.28636803
67	47.53600377
68	46.31594248
69	47.56195102
70	44.35469264
71	41.28087003
72	37.33500431
73	45.05964432
74	43.39282547
75	43.62977391
76	51.31925842
77	48.35965749
78	50.27650109
79	53.72124231
80	52.70979089
81	51.02622009
82	46.37691261
83	51.94250761
84	55.52257827
85	53.31919713
86	52.66608004
87	54.23082109
88	53.4960734
89	49.21261065
90	49.98836635
