Date	GA
1	61.63516362
2	51.96693908
3	51.68103151
4	55.161959
5	52.22686787
6	53.53195561
7	54.96402273
8	55.1441227
9	51.20390952
10	52.2780634
11	52.57332043
12	51.81457258
13	51.20973356
14	58.61665636
15	59.02922468
16	61.15220123
17	65.74488858
18	68.89513914
19	63.07843521
20	64.08414269
21	62.45366389
22	63.8249468
23	62.88627032
24	67.9226797
25	68.57113574
26	70.28264823
27	68.8115161
28	62.0451547
29	60.12217153
30	61.85338916
31	63.96962518
32	59.8241886
33	44.75599987
34	46.90805769
35	47.45784669
36	46.88647936
37	51.14805831
38	50.18065771
39	41.10156313
40	41.48445134
41	42.36227385
42	41.89609457
43	45.37250853
44	40.75124133
45	43.67957587
46	42.10874375
47	44.10085734
48	47.58643753
49	48.36513594
50	48.11638217
51	52.38633879
52	48.99177904
53	47.94179994
54	43.13601588
55	42.54630978
56	38.48035864
57	39.18078588
58	38.93104341
59	33.31530233
60	31.37753687
