#Date,EUR/USD,EUR/GBP,EUR/RON
2015-11-09,1.0757,0.7132,4.4452
2015-11-08,1.0741,0.7136,4.4602
2015-11-07,1.0739,0.7154,4.4595
2015-11-06,1.0835,0.7154,4.4964
2015-11-05,1.0869,0.7091,4.4490
2015-11-04,1.0920,0.7088,4.4436
2015-11-03,1.0990,0.7130,4.4339
2015-11-02,1.1026,0.7141,4.4356
2015-11-01,1.1006,0.7133,4.4330
2015-10-31,1.1006,0.7133,4.4373
2015-10-30,1.1002,0.7164,4.4568
2015-10-29,1.0945,0.7165,4.4337
2015-10-28,1.1035,0.7212,4.4360
2015-10-27,1.1052,0.7208,4.4366
2015-10-26,1.1034,0.7194,4.4335
2015-10-25,1.1018,0.7195,4.4341
2015-10-24,1.1018,0.7195,4.4030
2015-10-23,1.1084,0.7202,4.4292
2015-10-22,1.1266,0.7303,4.4286
2015-10-21,1.1352,0.7352,4.4281
2015-10-20,1.1345,0.7333,4.4240
2015-10-19,1.1344,0.7339,4.4250
2015-10-18,1.1349,0.7351,4.4124
2015-10-17,1.1349,0.7351,4.4130
2015-10-16,1.1370,0.7355,4.4176
2015-10-15,1.1438,0.7391,4.4167
2015-10-14,1.1416,0.7437,4.4156
2015-10-13,1.1373,0.7441,4.4148
2015-10-12,1.1371,0.7412,4.4136
2015-10-11,1.1359,0.7415,4.4158
2015-10-10,1.1359,0.7415,4.4287
2015-10-09,1.1323,0.7378,4.4149
2015-10-08,1.1267,0.7355,4.4163
2015-10-07,1.1255,0.7367,4.4151
2015-10-06,1.1217,0.7390,4.4169
2015-10-05,1.1222,0.7389,4.4178
2015-10-04,1.1212,0.7385,4.4194
2015-10-03,1.1212,0.7385,4.4194
2015-10-02,1.1204,0.7388,4.4153
2015-10-01,1.1168,0.7378,4.4163
2015-09-30,1.1216,0.7401,4.4182
2015-09-29,1.1244,0.7414,4.4188
2015-09-28,1.1197,0.7369,4.4129
2015-09-27,1.1198,0.7376,4.4101
2015-09-26,1.1198,0.7376,4.4101
2015-09-25,1.1173,0.7347,4.4153
2015-09-24,1.1214,0.7353,4.4193
2015-09-23,1.1146,0.7282,4.4212
2015-09-22,1.1168,0.7227,4.4216
2015-09-21,1.1266,0.7257,4.4301
2015-09-20,1.1301,0.7275,4.4194
2015-09-19,1.1301,0.7275,4.4149
2015-09-18,1.1397,0.7312,4.4217
2015-09-17,1.1321,0.7292,4.4228
2015-09-16,1.1275,0.7318,4.4213
2015-09-15,1.1301,0.7338,4.4178
2015-09-14,1.1329,0.7341,4.4211
2015-09-13,1.1338,0.7349,4.4190
2015-09-12,1.1338,0.7349,4.4191
2015-09-11,1.1295,0.7318,4.4163
2015-09-10,1.1225,0.7292,4.4194
2015-09-09,1.1176,0.7268,4.4218
2015-09-08,1.1181,0.7286,4.4275
2015-09-07,1.1157,0.7324,4.4280
2015-09-06,1.1149,0.7348,4.4266
2015-09-05,1.1149,0.7348,4.4266
2015-09-04,1.1133,0.7313,4.4262
2015-09-03,1.1188,0.7323,4.4318
2015-09-02,1.1264,0.7362,4.4395
2015-09-01,1.1266,0.7338,4.4360
2015-08-31,1.1219,0.7285,4.4313
2015-08-30,1.1185,0.7267,4.4275
2015-08-29,1.1185,0.7267,4.4275
2015-08-28,1.1242,0.7299,4.4326
2015-08-27,1.1294,0.7307,4.4389
2015-08-26,1.1450,0.7331,4.4371
2015-08-25,1.1515,0.7310,4.4392
2015-08-24,1.1494,0.7316,4.4285
2015-08-23,1.1387,0.7255,4.4295
2015-08-22,1.1387,0.7255,4.4295
2015-08-21,1.1290,0.7194,4.4322
2015-08-20,1.1158,0.7119,4.4306
2015-08-19,1.1055,0.7056,4.4289
2015-08-18,1.1058,0.7075,4.4275
2015-08-17,1.1092,0.7096,4.4305
2015-08-16,1.1110,0.7102,4.4298
2015-08-15,1.1110,0.7102,4.4298
2015-08-14,1.1143,0.7132,4.4186
2015-08-13,1.1135,0.7131,4.4110
2015-08-12,1.1115,0.7129,4.4140
2015-08-11,1.1022,0.7075,4.4133
2015-08-10,1.0974,0.7074,4.4096
2015-08-09,1.0966,0.7078,4.4126
2015-08-08,1.0966,0.7078,4.4126
2015-08-07,1.0930,0.7052,4.4123
2015-08-06,1.0909,0.7006,4.4113
2015-08-05,1.0877,0.6981,4.4113
2015-08-04,1.0949,0.7021,4.4083
2015-08-03,1.0969,0.7027,4.4089
2015-08-02,1.0985,0.7031,4.4090
2015-08-01,1.0985,0.7031,4.4090
2015-07-31,1.0975,0.7033,4.4061
2015-07-30,1.0953,0.7019,4.4110
2015-07-29,1.1047,0.7072,4.4170
2015-07-28,1.1064,0.7101,4.4155
2015-07-27,1.1049,0.7112,4.4046
2015-07-26,1.0983,0.7081,4.4229
2015-07-25,1.0983,0.7081,4.4213
2015-07-24,1.0969,0.7075,4.4220
2015-07-23,1.0966,0.7036,4.4216
2015-07-22,1.0925,0.7006,4.4182
2015-07-21,1.0868,0.6984,4.4136
2015-07-20,1.0838,0.6955,4.4134
2015-07-19,1.0830,0.6942,4.4154
2015-07-18,1.0830,0.6942,4.4184
2015-07-17,1.0875,0.6962,4.4171
2015-07-16,1.0911,0.6987,4.4243
2015-07-15,1.0989,0.7030,4.4200
2015-07-14,1.1010,0.7087,4.4191
2015-07-13,1.1082,0.7142,4.4400
2015-07-12,1.1156,0.7187,4.4529
2015-07-11,1.1156,0.7187,4.4467
2015-07-10,1.1123,0.7199,4.4574
2015-07-09,1.1053,0.7187,4.4794
2015-07-08,1.1028,0.7160,4.4845
2015-07-07,1.0999,0.7088,4.4845
2015-07-06,1.1043,0.7091,4.4826
2015-07-05,1.1114,0.7136,4.4893
2015-07-04,1.1114,0.7136,4.4891
2015-07-03,1.1097,0.7110,4.4821
2015-07-02,1.1073,0.7095,4.4765
2015-07-01,1.1107,0.7091,4.4817
2015-06-30,1.1182,0.7110,4.4849
2015-06-29,1.1096,0.7059,4.4741
2015-06-28,1.1174,0.7095,4.4602
2015-06-27,1.1174,0.7095,4.4556
2015-06-26,1.1185,0.7107,4.4604
2015-06-25,1.1202,0.7128,4.4615
2015-06-24,1.1190,0.7111,4.4739
2015-06-23,1.1242,0.7128,4.4824
2015-06-22,1.1364,0.7167,4.4888
2015-06-21,1.1349,0.7148,4.4848
2015-06-20,1.1349,0.7148,4.4952
2015-06-19,1.1346,0.7148,4.4896
2015-06-18,1.1374,0.7168,4.4864
2015-06-17,1.1266,0.7177,4.4837
2015-06-16,1.1260,0.7212,4.4860
2015-06-15,1.1234,0.7226,4.4815
2015-06-14,1.1269,0.7240,4.4922
2015-06-13,1.1269,0.7240,4.4726
2015-06-12,1.1240,0.7241,4.4695
2015-06-11,1.1274,0.7278,4.4661
2015-06-10,1.1303,0.7314,4.4723
2015-06-09,1.1282,0.7356,4.4729
2015-06-08,1.1162,0.7306,4.4535
2015-06-07,1.1113,0.7279,4.4486
2015-06-06,1.1113,0.7279,4.4525
2015-06-05,1.1186,0.7304,4.4413
2015-06-04,1.1278,0.7344,4.4289
2015-06-03,1.1182,0.7295,4.4345
2015-06-02,1.1019,0.7223,4.4423
2015-06-01,1.0938,0.7174,4.4481
2015-05-31,1.0991,0.7188,4.4538
2015-05-30,1.0991,0.7188,4.4423
2015-05-29,1.0968,0.7169,4.4434
2015-05-28,1.0917,0.7123,4.4451
2015-05-27,1.0886,0.7081,4.4506
2015-05-26,1.0918,0.7080,4.4566
2015-05-25,1.0983,0.7097,4.4540
2015-05-24,1.1012,0.7112,4.4611
2015-05-23,1.1012,0.7112,4.4143
2015-05-22,1.1102,0.7115,4.4503
2015-05-21,1.1123,0.7125,4.4467
2015-05-20,1.1119,0.7162,4.4464
2015-05-19,1.1225,0.7207,4.4491
2015-05-18,1.1393,0.7259,4.4577
2015-05-17,1.1448,0.7279,4.4364
2015-05-16,1.1448,0.7279,4.4391
2015-05-15,1.1401,0.7236,4.4459
2015-05-14,1.1383,0.7222,4.4587
2015-05-13,1.1273,0.7182,4.4621
2015-05-12,1.1204,0.7170,4.4578
2015-05-11,1.1162,0.7209,4.4515
2015-05-10,1.1204,0.7256,4.4449
2015-05-09,1.1204,0.7256,4.4361
2015-05-08,1.1226,0.7271,4.4450
2015-05-07,1.1319,0.7432,4.4432
2015-05-06,1.1257,0.7400,4.4375
2015-05-05,1.1147,0.7362,4.4300
2015-05-04,1.1168,0.7379,4.4347
2015-05-03,1.1198,0.7397,4.4069
2015-05-02,1.1198,0.7397,4.4069
2015-05-01,1.1222,0.7348,4.4407
2015-04-30,1.1158,0.7245,4.4151
2015-04-29,1.1029,0.7171,4.3960
2015-04-28,1.0917,0.7150,4.4003
2015-04-27,1.0865,0.7158,4.4159
2015-04-26,1.0875,0.7160,4.4205
2015-04-25,1.0875,0.7160,4.4316
2015-04-24,1.0839,0.7174,4.4170
2015-04-23,1.0748,0.7152,4.4217
2015-04-22,1.0741,0.7166,4.4307
2015-04-21,1.0721,0.7195,4.4384
2015-04-20,1.0768,0.7209,4.4382
2015-04-19,1.0806,0.7222,4.4199
2015-04-18,1.0806,0.7222,4.4253
2015-04-17,1.0784,0.7208,4.4160
2015-04-16,1.0709,0.7198,4.4178
2015-04-15,1.0632,0.7197,4.4184
2015-04-14,1.0600,0.7209,4.4065
2015-04-13,1.0581,0.7231,4.4046
2015-04-12,1.0602,0.7246,4.4060
2015-04-11,1.0602,0.7246,4.4046
2015-04-10,1.0631,0.7245,4.4049
2015-04-09,1.0736,0.7250,4.3988
2015-04-08,1.0833,0.7281,4.4056
2015-04-07,1.0889,0.7319,4.4246
2015-04-06,1.0987,0.7360,4.4082
2015-04-05,1.0974,0.7357,4.4536
2015-04-04,1.0974,0.7357,4.4536
2015-04-03,1.0916,0.7346,4.4016
2015-04-02,1.0821,0.7297,4.4171
2015-04-01,1.0762,0.7260,4.4138
2015-03-31,1.0773,0.7277,4.4080
2015-03-30,1.0851,0.7314,4.4125
2015-03-29,1.0890,0.7322,4.4246
2015-03-28,1.0890,0.7322,4.4246
2015-03-27,1.0874,0.7315,4.4267
2015-03-26,1.0962,0.7364,4.4225
2015-03-25,1.0948,0.7360,4.4095
2015-03-24,1.0939,0.7334,4.4070
2015-03-23,1.0861,0.7276,4.4104
2015-03-22,1.0822,0.7240,4.4359
2015-03-21,1.0822,0.7240,4.4384
2015-03-20,1.0723,0.7239,4.4278
2015-03-19,1.0729,0.7222,4.4344
2015-03-18,1.0634,0.7211,4.4461
2015-03-17,1.0589,0.7159,4.4406
2015-03-16,1.0540,0.7129,4.4287
2015-03-15,1.0496,0.7118,4.4430
2015-03-14,1.0496,0.7118,4.4430
2015-03-13,1.0573,0.7133,4.4439
2015-03-12,1.0581,0.7084,4.4406
2015-03-11,1.0632,0.7074,4.4455
2015-03-10,1.0774,0.7143,4.4442
2015-03-09,1.0855,0.7195,4.4388
2015-03-08,1.0844,0.7209,4.4442
2015-03-07,1.0844,0.7209,4.4443
2015-03-06,1.0963,0.7223,4.4468
2015-03-05,1.1050,0.7249,4.4493
2015-03-04,1.1136,0.7265,4.4577
2015-03-03,1.1186,0.7278,4.4519
2015-03-02,1.1191,0.7269,4.4405
2015-03-01,1.1197,0.7254,4.4354
2015-02-28,1.1197,0.7253,4.4353
2015-02-27,1.1209,0.7266,4.4342
2015-02-26,1.1315,0.7302,4.4294
2015-02-25,1.1353,0.7330,4.4342
2015-02-24,1.1330,0.7335,4.4467
2015-02-23,1.1351,0.7371,4.4578
2015-02-22,1.1379,0.7391,4.4556
2015-02-21,1.1379,0.7391,4.4612
2015-02-20,1.1354,0.7372,4.4514
2015-02-19,1.1398,0.7383,4.4475
2015-02-18,1.1388,0.7399,4.4515
2015-02-17,1.1377,0.7406,4.4461
2015-02-16,1.1399,0.7403,4.4474
2015-02-15,1.1391,0.7396,4.4416
2015-02-14,1.1391,0.7396,4.4415
2015-02-13,1.1410,0.7411,4.4399
2015-02-12,1.1344,0.7418,4.4395
2015-02-11,1.1311,0.7413,4.4422
2015-02-10,1.1319,0.7430,4.4342
2015-02-09,1.1326,0.7433,4.4292
2015-02-08,1.1317,0.7421,4.4161
2015-02-07,1.1317,0.7422,4.3781
2015-02-06,1.1422,0.7464,4.4186
2015-02-05,1.1391,0.7475,4.4081
2015-02-04,1.1450,0.7541,4.4088
2015-02-03,1.1379,0.7552,4.3991
2015-02-02,1.1322,0.7521,4.3981
2015-02-01,1.1286,0.7491,4.4304
2015-01-31,1.1286,0.7492,4.4305
2015-01-30,1.1321,0.7516,4.4394
2015-01-29,1.1298,0.7473,4.4460
2015-01-28,1.1348,0.7476,4.4605
2015-01-27,1.1293,0.7467,4.4683
2015-01-26,1.1220,0.7467,4.4641
2015-01-25,1.1207,0.7475,4.5221
2015-01-24,1.1207,0.7475,4.4802
2015-01-23,1.1293,0.7528,4.4914
2015-01-22,1.1550,0.7637,4.5040
2015-01-21,1.1576,0.7648,4.5084
2015-01-20,1.1582,0.7657,4.5084
2015-01-19,1.1588,0.7652,4.4971
2015-01-18,1.1568,0.7631,4.5013
2015-01-17,1.1568,0.7631,4.5013
2015-01-16,1.1599,0.7643,4.5058
2015-01-15,1.1717,0.7701,4.5432
2015-01-14,1.1780,0.7757,4.4732
2015-01-13,1.1810,0.7791,4.4844
2015-01-12,1.1837,0.7809,4.4902
2015-01-11,1.1842,0.7812,4.4796
2015-01-10,1.1842,0.7812,4.4980
2015-01-09,1.1810,0.7812,4.4862
2015-01-08,1.1807,0.7827,4.4921
2015-01-07,1.1856,0.7840,4.4987
2015-01-06,1.1929,0.7838,4.4979
2015-01-05,1.1941,0.7819,4.5005
2015-01-04,1.2002,0.7830,4.5067
2015-01-03,1.2002,0.7830,4.4735
2015-01-02,1.2048,0.7784,4.4907
2015-01-01,1.2101,0.7768,4.4880
2014-12-31,1.2142,0.7797,4.4854
2014-12-30,1.2155,0.7826,4.4788
2014-12-29,1.2184,0.7834,4.4735
2014-12-28,1.2181,0.7828,4.4745
2014-12-27,1.2181,0.7828,4.4683
2014-12-26,1.2196,0.7840,4.4741
2014-12-25,1.2194,0.7837,4.4559
2014-12-24,1.2187,0.7846,4.4722
2014-12-23,1.2213,0.7851,4.4761
2014-12-22,1.2246,0.7837,4.4669
2014-12-21,1.2228,0.7824,4.4728
2014-12-20,1.2228,0.7824,4.4592
2014-12-19,1.2271,0.7841,4.4748
2014-12-18,1.2314,0.7886,4.4750
2014-12-17,1.2464,0.7937,4.4801
2014-12-16,1.2480,0.7954,4.4791
2014-12-15,1.2444,0.7932,4.4846
2014-12-14,1.2461,0.7930,4.4782
2014-12-13,1.2460,0.7930,4.4779
2014-12-12,1.2426,0.7905,4.4652
2014-12-11,1.2433,0.7917,4.4502
2014-12-10,1.2395,0.7903,4.4400
2014-12-09,1.2349,0.7887,4.4391
2014-12-08,1.2287,0.7878,4.4413
2014-12-07,1.2287,0.7885,4.4268
2014-12-06,1.2287,0.7885,4.4356
2014-12-05,1.2350,0.7895,4.4335
2014-12-04,1.2336,0.7866,4.4267
2014-12-03,1.2350,0.7886,4.4286
2014-12-02,1.2438,0.7925,4.4328
2014-12-01,1.2461,0.7950,4.4312
2014-11-30,1.2451,0.7959,4.4346
2014-11-29,1.2451,0.7958,4.4239
2014-11-28,1.2455,0.7937,4.4255
2014-11-27,1.2491,0.7922,4.4196
2014-11-26,1.2481,0.7931,4.4246
2014-11-25,1.2441,0.7929,4.4335
2014-11-24,1.2404,0.7916,4.4292
2014-11-23,1.2391,0.7914,4.4438
2014-11-22,1.2391,0.7914,4.4122
2014-11-21,1.2481,0.7962,4.4440
2014-11-20,1.2540,0.7997,4.4427
2014-11-19,1.2535,0.8012,4.4383
2014-11-18,1.2496,0.7985,4.4330
2014-11-17,1.2506,0.7982,4.4384
2014-11-16,1.2525,0.7995,4.4267
2014-11-15,1.2525,0.7995,4.4267
2014-11-14,1.2466,0.7955,4.4275
2014-11-13,1.2456,0.7906,4.4300
2014-11-12,1.2462,0.7851,4.4301
2014-11-11,1.2432,0.7837,4.4256
2014-11-10,1.2464,0.7846,4.4300
2014-11-09,1.2455,0.7848,4.4341
2014-11-08,1.2455,0.7848,4.4342
2014-11-07,1.2398,0.7829,4.4303
2014-11-06,1.2472,0.7826,4.4251
2014-11-05,1.2516,0.7837,4.4192
2014-11-04,1.2519,0.7828,4.4163
2014-11-03,1.2492,0.7817,4.4146
2014-11-02,1.2525,0.7831,4.4105
2014-11-01,1.2525,0.7831,4.4105
2014-10-31,1.2567,0.7859,4.4263
2014-10-30,1.2609,0.7883,4.4153
2014-10-29,1.2727,0.7897,4.4226
2014-10-28,1.2717,0.7883,4.4232
2014-10-27,1.2695,0.7880,4.4241
2014-10-26,1.2671,0.7876,4.4196
2014-10-25,1.2671,0.7876,4.4219
2014-10-24,1.2659,0.7886,4.4220
2014-10-23,1.2648,0.7888,4.4222
2014-10-22,1.2694,0.7894,4.4182
2014-10-21,1.2775,0.7909,4.4166
2014-10-20,1.2769,0.7920,4.4138
2014-10-19,1.2759,0.7930,4.4158
2014-10-18,1.2759,0.7930,4.4158
2014-10-17,1.2793,0.7953,4.4205
2014-10-16,1.2800,0.7994,4.4207
2014-10-15,1.2695,0.7973,4.4152
2014-10-14,1.2689,0.7933,4.4074
2014-10-13,1.2675,0.7878,4.4003
2014-10-12,1.2631,0.7854,4.4071
2014-10-11,1.2631,0.7854,4.4071
2014-10-10,1.2664,0.7876,4.4049
2014-10-09,1.2729,0.7874,4.4056
2014-10-08,1.2666,0.7875,4.4079
2014-10-07,1.2633,0.7859,4.4075
2014-10-06,1.2552,0.7847,4.4025
2014-10-05,1.2514,0.7837,4.4130
2014-10-04,1.2514,0.7837,4.4130
2014-10-03,1.2601,0.7843,4.4123
2014-10-02,1.2645,0.7819,4.4107
2014-10-01,1.2614,0.7787,4.4108
2014-09-30,1.2652,0.7796,4.4095
2014-09-29,1.2686,0.7812,4.4092
2014-09-28,1.2685,0.7806,4.4063
2014-09-27,1.2685,0.7806,4.4063
2014-09-26,1.2728,0.7812,4.4052
2014-09-25,1.2750,0.7815,4.4021
2014-09-24,1.2828,0.7832,4.4018
2014-09-23,1.2862,0.7854,4.4021
2014-09-22,1.2845,0.7862,4.4030
2014-09-21,1.2830,0.7877,4.3993
2014-09-20,1.2830,0.7877,4.3993
2014-09-19,1.2880,0.7854,4.4044
2014-09-18,1.2881,0.7894,4.4139
2014-09-17,1.2949,0.7947,4.4166
2014-09-16,1.2948,0.7980,4.4140
2014-09-15,1.2945,0.7969,4.4198
2014-09-14,1.2963,0.7969,4.4248
2014-09-13,1.2963,0.7969,4.4248
2014-09-12,1.2933,0.7960,4.4199
2014-09-11,1.2923,0.7967,4.4199
2014-09-10,1.2927,0.8012,4.4233
2014-09-09,1.2897,0.8012,4.4194
2014-09-08,1.2940,0.8004,4.4148
2014-09-07,1.2951,0.7933,4.4011
2014-09-06,1.2951,0.7933,4.4011
2014-09-05,1.2947,0.7936,4.4006
2014-09-04,1.3079,0.7962,4.4015
2014-09-03,1.3139,0.7980,4.4066
2014-09-02,1.3124,0.7932,4.4026
2014-09-01,1.3131,0.7906,4.3962
2014-08-31,1.3133,0.7913,4.3988
2014-08-30,1.3134,0.7914,4.3992
2014-08-29,1.3171,0.7940,4.4048
2014-08-28,1.3192,0.7955,4.3993
2014-08-27,1.3179,0.7955,4.3957
2014-08-26,1.3194,0.7960,4.3967
2014-08-25,1.3199,0.7965,4.3961
2014-08-24,1.3243,0.7990,4.4084
2014-08-23,1.3243,0.7990,4.4089
2014-08-22,1.3268,0.8003,4.4063
2014-08-21,1.3264,0.7998,4.4125
2014-08-20,1.3297,0.7998,4.4253
2014-08-19,1.3343,0.8004,4.4331
2014-08-18,1.3382,0.8001,4.4380
2014-08-17,1.3401,0.8027,4.4336
2014-08-16,1.3401,0.8027,4.4431
2014-08-15,1.3378,0.8016,4.4354
2014-08-14,1.3369,0.8014,4.4365
2014-08-13,1.3367,0.7976,4.4380
2014-08-12,1.3365,0.7962,4.4400
2014-08-11,1.3394,0.7981,4.4420
2014-08-10,1.3413,0.7995,4.4477
2014-08-09,1.3412,0.7995,4.4453
2014-08-08,1.3385,0.7965,4.4445
2014-08-07,1.3373,0.7939,4.4416
2014-08-06,1.3365,0.7929,4.4398
2014-08-05,1.3399,0.7944,4.4321
2014-08-04,1.3422,0.7974,4.4343
2014-08-03,1.3432,0.7984,4.4337
2014-08-02,1.3432,0.7984,4.4409
2014-08-01,1.3402,0.7951,4.4309
2014-07-31,1.3392,0.7926,4.4162
2014-07-30,1.3399,0.7915,4.4018
2014-07-29,1.3427,0.7915,4.3947
2014-07-28,1.3434,0.7911,4.3873
2014-07-27,1.3430,0.7911,4.3800
2014-07-26,1.3430,0.7911,4.3934
2014-07-25,1.3451,0.7921,4.4003
2014-07-24,1.3465,0.7914,4.4125
2014-07-23,1.3465,0.7896,4.4308
2014-07-22,1.3498,0.7907,4.4439
2014-07-21,1.3527,0.7920,4.4497
2014-07-20,1.3524,0.7914,4.4467
2014-07-19,1.3524,0.7917,4.4563
2014-07-18,1.3523,0.7913,4.4427
2014-07-17,1.3527,0.7902,4.4414
2014-07-16,1.3547,0.7906,4.4308
2014-07-15,1.3602,0.7946,4.4196
2014-07-14,1.3615,0.7960,4.4166
2014-07-13,1.3607,0.7951,4.4170
2014-07-12,1.3607,0.7951,4.4169
2014-07-11,1.3605,0.7945,4.4124
2014-07-10,1.3625,0.7951,4.3966
2014-07-09,1.3620,0.7952,4.3900
2014-07-08,1.3605,0.7944,4.3879
2014-07-07,1.3594,0.7932,4.3858
2014-07-06,1.3594,0.7923,4.3876
2014-07-05,1.3597,0.7924,4.3885
2014-07-04,1.3599,0.7927,4.3887
2014-07-03,1.3638,0.7952,4.3887
2014-07-02,1.3666,0.7966,4.3879
2014-07-01,1.3688,0.7992,4.3859
2014-06-30,1.3661,0.8011,4.3853
2014-06-29,1.3648,0.8009,4.3917
2014-06-28,1.3648,0.8009,4.3957
2014-06-27,1.3626,0.8002,4.3885
2014-06-26,1.3620,0.8010,4.3877
2014-06-25,1.3617,0.8021,4.3917
2014-06-24,1.3605,0.8001,4.3915
2014-06-23,1.3596,0.7987,4.3959
2014-06-22,1.3600,0.7994,4.4011
2014-06-21,1.3600,0.7994,4.3937
2014-06-20,1.3603,0.7985,4.3947
2014-06-19,1.3609,0.7998,4.3953
2014-06-18,1.3560,0.7996,4.4010
2014-06-17,1.3559,0.7991,4.3990
2014-06-16,1.3548,0.7979,4.3942
2014-06-15,1.3543,0.7981,4.3947
2014-06-14,1.3543,0.7981,4.3907
2014-06-13,1.3550,0.7990,4.3928
2014-06-12,1.3541,0.8051,4.3919
2014-06-11,1.3535,0.8071,4.3912
2014-06-10,1.3567,0.8083,4.3827
2014-06-09,1.3623,0.8107,4.3821
2014-06-08,1.3642,0.8118,4.3883
2014-06-07,1.3642,0.8118,4.3883
2014-06-06,1.3648,0.8120,4.3919
2014-06-05,1.3609,0.8118,4.3964
2014-06-04,1.3615,0.8134,4.3994
2014-06-03,1.3613,0.8127,4.3958
2014-06-02,1.3615,0.8129,4.3957
2014-06-01,1.3634,0.8135,4.3895
2014-05-31,1.3634,0.8135,4.4041
2014-05-30,1.3617,0.8133,4.3986
2014-05-29,1.3605,0.8137,4.3966
2014-05-28,1.3617,0.8123,4.3956
2014-05-27,1.3643,0.8105,4.3992
2014-05-26,1.3634,0.8097,4.4040
2014-05-25,1.3630,0.8097,4.4002
2014-05-24,1.3630,0.8097,4.4087
2014-05-23,1.3638,0.8094,4.4106
2014-05-22,1.3669,0.8098,4.4194
2014-05-21,1.3691,0.8118,4.4292
2014-05-20,1.3703,0.8143,4.4330
2014-05-19,1.3710,0.8150,4.4303
2014-05-18,1.3694,0.8142,4.4357
2014-05-17,1.3694,0.8142,4.4307
2014-05-16,1.3708,0.8158,4.4323
